name,count,lat,lon
Nova Festival,161,31.398337,34.470135
Be'eri,146,31.423711,34.492502
Re'im,91,31.385920,34.458855
Kfar Aza,80,31.483276,34.532376
Mefalsim,70,31.501738,34.561727
Nir Oz,59,31.309575,34.402115
Nahal Oz Outpost,52,31.479863,34.501497
Sderot,50,31.522367,34.595525
Ofakim,32,31.306574,34.619872
Alumim,32,31.452787,34.514705
Sha'ar Hanegev Junction,32,31.507986,34.586910
Gama Junction,31,31.381046,34.447567
Kissufim,30,31.374448,34.399156
Netiv Ha'asara,22,31.571985,34.539533
Zikim Beach,18,31.612634,34.504554
Sufa,17,31.237328,34.342273
Holit,16,31.229671,34.326655
Nahal Oz,16,31.472556,34.497724
Kissufim Outpost,15,31.374727,34.402202
Erez Crossing,14,31.558166,34.544310
Tel Gama,14,31.387092,34.445559
Paga Outpost,13,31.450581,34.470236
Mivtachim Junction,13,31.256870,34.403087
Urim Base,11,31.313478,34.542860
Nir Yitzhak,9,31.235902,34.356814
Yachini,8,31.481737,34.598624
Zikim Base,8,31.603148,34.510125
Nirim,8,31.335623,34.394119
Ma'on Junction,8,31.313554,34.439247
Re'im Base,7,31.362868,34.447040
Portable shelter at entrance to Alumim,7,31.451694,34.515003
Mivtachim,6,31.242338,34.407501
ِAbu Qureinat,4,31.102913,34.951911
Kerem Shalom,4,31.227824,34.284429
Ein Hashlosha,4,31.351551,34.403271
Ashkelon,3,31.668413,34.574911
Between Sa'ad and Nahal Oz,3,31.472776,34.515703
Nahal Gerar,3,31.385662,34.634824
Netivot,3,31.421094,34.587314
Pri Gan,3,31.221644,34.356017
Kuhlah,2,31.288408,35.054154
Nir Am,2,31.518629,34.580779
Sderout South Junction,2,31.516383,34.586595
Kfar Aviv,1,31.829781,34.722831
Ami'oz,1,31.247652,34.413649
Ar'arah,1,31.158784,35.012966
